TestID,Pressure,MassFlux,Subcooling,Quality,Elevation,FilmFlow
-,MPa,kg/m^2-s,C,-,m,kg/min
uniform_M750_X75,7,750,10,0.75,[2.26 2.39 2.53 2.67 2.81 2.95 3.09 3.23 3.37 3.51 3.65],[1.6  1.5  1.35 1.15 0.9  0.85 0.7  0.55 0.45 0.3  0.15]
uniform_M1250_X51,7,1250,10,0.51,[          2.59 2.72 2.86 2.99 3.12 3.25 3.39 3.52 3.65],[          1.55 1.5  1.25 1.12 0.89 0.75 0.52 0.45 0.32]
uniform_M1750_X43,7,1750,10,0.43,[                    2.71 2.86 3.02 3.18 3.34 3.49 3.65],[                    1.5  1.34 0.98 0.85 0.65 0.46 0.34]
outlet_M750_X72,7,750,10,0.72,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.0  0.85 0.7  0.5  0.55 0.3  0.3 ]
outlet_M750_X65,7,750,10,0.65,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.4  1.1  1.0  0.85 0.8  0.75 0.75]
outlet_M1250_X50,7,1250,10,0.50,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.25 0.9  0.8  0.75 0.6  0.55 0.5 ]
outlet_M1250_X45,7,1250,10,0.45,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.9  1.5  1.25 1.1  1.0  0.95 0.9 ]
outlet_M1750_X40,7,1750,10,0.40,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.6  0.95 0.8  0.75 0.65 0.55 0.6 ]
outlet_M1750_X36,7,1750,10,0.36,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[2.0  1.6  1.4  1.2  1.15 1.1  1.05]
middle_M750_X74,7,750,10,0.74,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[0.65 0.55 0.45 0.4  0.35 0.35 0.3 ]
middle_M750_X65,7,750,10,0.65,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.25 1.1  0.95 0.9  0.8  0.85 0.8 ]
middle_M1250_X51,7,1250,10,0.51,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[0.95 0.78 0.6  0.65 0.6  0.6  0.65]
middle_M1250_X45,7,1250,10,0.45,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.85 1.4  1.3  1.3  1.1  1.1  1.15]
middle_M1750_X40,7,1750,10,0.4,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.05 0.85 0.8  0.8  0.65 0.65 0.75]
middle_M1750_X36,7,1750,10,0.36,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[2.0  1.7  1.65 1.65 1.4  1.2  1.2 ]
inlet_M750_X76,7,750,10,0.76,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[0.65 0.55 0.45 0.4  0.35 0.35 0.3 ]
inlet_M750_X65,7,750,10,0.65,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.35 1.15 1.0  0.95 0.88 0.9  0.85]
inlet_M1250_X52,7,1250,10,0.52,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.0  0.85 0.75 0.7  0.6  0.6  0.6 ]
inlet_M1250_X45,7,1250,10,0.45,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[1.8  1.4  1.3  1.22 1.08 1.05 1.05]
inlet_M1750_X43,7,1750,10,0.43,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[0.95 0.85 0.8  0.7  0.65 0.65 0.65]
inlet_M1750_X36,7,1750,10,0.36,[2.85 3.00 3.15 3.30 3.45 3.55 3.65],[2.0  1.65 1.55 1.4  1.4  1.3  1.3 ]
