WMESH,uniform,outlet,middle,inlet
m,-,-,-,-
0.09865,1,0.4,0.479,0.387
0.09865,1,0.417,0.49,0.454
0.09865,1,0.467,0.511,0.578
0.09865,1,0.527,0.541,0.714
0.09865,1,0.592,0.58,0.839
0.09865,1,0.65,0.633,0.953
0.09865,1,0.694,0.7,1.052
0.09865,1,0.729,0.783,1.131
0.09865,1,0.763,0.88,1.195
0.09865,1,0.798,1.039,1.243
0.09865,1,0.836,1.155,1.433
0.09865,1,0.885,1.269,1.332
0.09865,1,0.933,1.396,1.354
0.09865,1,0.988,1.52,1.36
0.09865,1,1.042,1.638,1.367
0.09865,1,1.089,1.705,1.38
0.09865,1,1.123,1.719,1.392
0.09865,1,1.157,1.721,1.369
0.09865,1,1.196,1.718,1.345
0.09865,1,1.243,1.704,1.303
0.09865,1,1.269,1.664,1.224
0.09865,1,1.282,1.6,1.17
0.09865,1,1.294,1.486,1.113
0.09865,1,1.283,1.355,1.056
0.09865,1,1.271,1.218,0.997
0.09865,1,1.257,1.081,0.947
0.09865,1,1.236,0.948,0.875
0.09865,1,1.204,0.833,0.828
0.09865,1,1.156,0.741,0.784
0.09865,1,1.113,0.664,0.747
0.09865,1,1.06,0.602,0.705
0.09865,1,0.978,0.557,0.666
0.09865,1,0.887,0.523,0.614
0.09865,1,0.79,0.493,0.548
0.09865,1,0.672,0.477,0.482
0.09865,1,0.537,0.462,0.427
0.09865,1,0.418,0.48,0.41
