Param Name,Mass Flow [kg/m^2],Mass Flux [kg/m^2*s],Inlet Enthalpy   [J/kg],Inlet Quality,Heat Flux [kW/m^2],Heater Power [W],Pressure [Pa],Length [m],Area [m^2],Perimeter [m],WallMesh,WallPower,Fluid,Film Thickness Measured [m]
'PARAM01_01',0.055276603,127.9551,354385,0.6386,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000181609
'PARAM01_02',0.055276603,127.9551,354385,0.6386,1.29E+04,390.096,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000183093
'PARAM01_03',0.055276603,127.9551,354385,0.6386,2.60E+04,786.24,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000176077
'PARAM01_04',0.055276603,127.9551,354385,0.6386,2.66E+04,804.384,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000179264
'PARAM02_01',0.055296518,128.0012,369974,0.7206,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000165395
'PARAM02_02',0.055296518,128.0012,369974,0.7206,1.29E+04,390.096,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000147791
'PARAM02_03',0.055296518,128.0012,369974,0.7206,2.07E+04,625.968,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000140586
'PARAM02_04',0.055296518,128.0012,369974,0.7206,2.34E+04,707.616,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000128319
'PARAM03_01',0.055297642,128.0038,385391,0.8017,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000136508
'PARAM03_02',0.055297642,128.0038,385391,0.8017,1.29E+04,390.096,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.00011874
'PARAM03_03',0.055297642,128.0038,385391,0.8017,1.56E+04,471.744,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000117469
'PARAM03_04',0.055297642,128.0038,385391,0.8017,1.69E+04,511.056,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000112574
'PARAM04_01',0.055306152,128.0235,400504,0.8812,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000117737
'PARAM04_02',0.055306152,128.0235,400504,0.8812,1.29E+04,390.096,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000100109
'PARAM04_03',0.055306152,128.0235,400504,0.8812,1.41E+04,426.384,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,9.51E-05
'PARAM04_04',0.055306152,128.0235,400504,0.8812,1.54E+04,465.696,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,9.43E-05
'PARAM05_01',0.056299579,130.3231,415370,0.9594,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,9.54E-05
'PARAM05_02',0.056299579,130.3231,415370,0.9594,7.60E+03,229.824,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,7.96E-05
'PARAM05_03',0.056299579,130.3231,415370,0.9594,1.01E+04,305.424,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,6.90E-05
'PARAM05_04',0.056299579,130.3231,415370,0.9594,1.26E+04,381.024,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,6.39E-05
'PARAM06_01',0.0642816,148.8,355602,0.645,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000159369
'PARAM06_02',0.0642816,148.8,355602,0.645,1.31E+04,396.144,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000142415
'PARAM06_03',0.0642816,148.8,355602,0.645,1.84E+04,556.416,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000129309
'PARAM06_04',0.0642816,148.8,355602,0.645,2.23E+04,674.352,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.00012746
'PARAM07_01',0.064282594,148.8023,369821,0.7198,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000139622
'PARAM07_02',0.064282594,148.8023,369821,0.7198,1.31E+04,396.144,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000119315
'PARAM07_03',0.064282594,148.8023,369821,0.7198,1.84E+04,556.416,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000121718
'PARAM07_04',0.064282594,148.8023,369821,0.7198,2.10E+04,635.04,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000114428
'PARAM08_01',0.064289894,148.8192,385011,0.7997,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000120362
'PARAM08_02',0.064289894,148.8192,385011,0.7997,1.31E+04,396.144,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.00010671
'PARAM08_03',0.064289894,148.8192,385011,0.7997,1.57E+04,474.768,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,9.76E-05
'PARAM08_04',0.064289894,148.8192,385011,0.7997,1.84E+04,556.416,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,9.61E-05
'PARAM09_01',0.064282032,148.801,399991,0.8785,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000105013
'PARAM09_02',0.064282032,148.801,399991,0.8785,1.05E+04,317.52,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,9.21E-05
'PARAM09_03',0.064282032,148.801,399991,0.8785,1.31E+04,396.144,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,8.83E-05
'PARAM09_04',0.064282032,148.801,399991,0.8785,1.56E+04,471.744,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,8.21E-05
'PARAM10_01',0.06328908,146.5025,415009,0.9575,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,8.38E-05
'PARAM10_02',0.06328908,146.5025,415009,0.9575,2.54E+03,76.8096,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,8.19E-05
'PARAM10_03',0.06328908,146.5025,415009,0.9575,8.81E+03,266.4144,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,7.04E-05
'PARAM10_04',0.06328908,146.5025,415009,0.9575,1.00E+04,302.4,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,7.01E-05
'PARAM11_01',0.072249926,167.2452,353606,0.6345,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000147186
'PARAM11_02',0.072249926,167.2452,353606,0.6345,1.30E+04,393.12,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000128665
'PARAM11_03',0.072249926,167.2452,353606,0.6345,2.62E+04,792.288,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000111675
'PARAM11_04',0.072249926,167.2452,353606,0.6345,2.88E+04,870.912,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000108197
'PARAM12_01',0.072255542,167.2582,367160,0.7058,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000125429
'PARAM12_02',0.072255542,167.2582,367160,0.7058,1.30E+04,393.12,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000113292
'PARAM12_03',0.072255542,167.2582,367160,0.7058,2.36E+04,713.664,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.00010514
'PARAM12_04',0.072255542,167.2582,367160,0.7058,2.49E+04,752.976,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000101892
'PARAM13_01',0.07226699,167.2847,382235,0.7851,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,0.000108825
'PARAM13_02',0.07226699,167.2847,382235,0.7851,1.31E+04,396.144,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,9.75E-05
'PARAM13_03',0.07226699,167.2847,382235,0.7851,1.83E+04,553.392,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,9.20E-05
'PARAM13_04',0.07226699,167.2847,382235,0.7851,1.96E+04,592.704,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,9.05E-05
'PARAM14_01',0.072264269,167.2784,397367,0.8647,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,9.49E-05
'PARAM14_02',0.072264269,167.2784,397367,0.8647,1.04E+04,314.496,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,8.69E-05
'PARAM14_03',0.072264269,167.2784,397367,0.8647,1.30E+04,393.12,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,8.45E-05
'PARAM14_04',0.072264269,167.2784,397367,0.8647,1.56E+04,471.744,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,8.19E-05
'PARAM15_01',0.072256925,167.2614,412728,0.9455,0,0,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,8.13E-05
'PARAM15_02',0.072256925,167.2614,412728,0.9455,5.06E+03,153.0144,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,7.77E-05
'PARAM15_03',0.072256925,167.2614,412728,0.9455,8.92E+03,269.7408,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,7.30E-05
'PARAM15_04',0.072256925,167.2614,412728,0.9455,1.26E+04,381.024,148000,3.12,4.32E-04,[0.036 0.036 0.024],[2.7 0.42],[0 1 0 1 0 0],R245fa,6.61E-05
